numcode,risk_assessment
34602,"Croats in Bosnia and Herzegovina (BiH) have a low risk of rebellion, yet the possibility of protests remains moderate. Croat protests tend to be symbolic in nature. The Croats have a significant degree of group cohesion and have at least eight political parties. While there are some extreme Croats nationalists who demand that a third Croat-controlled entity be established to balance Croats interests against Bosniaks and Serbs, most simply want equal treatment under the law.  The Croats in BiH have only a few of the risk factors for rebellion, including the presence of regime instability and high levels of group organization. Moreover, several factors -- most significantly, transnational support for reform and reconciliation -- inhibit rebellion. While elections are free and fair, full democracy is still a work in progress in BiH. The High Representative of the international community in BiH still holds the so-called 'Bonn Powers that allow him to intervene at any level of BiH government to assist in the full implementation of the Dayton Accords, which means everything from the removing obstructionist politicians to imposing laws. Additionally, foreign peacekeepers remain in BiH. In 2004, NATOs SFOR officially turned over its mission in BiH to the European Unions EUFOR, which has approximately 7,000 troops on the ground. Furthermore, there has been no serious armed conflict in the region since 1999. For these three reasons, among others, rebellion appears extremely unlikely for Croats in BiH in the near future.  The only significant risk factor for protest in the Croat case is the new and unstable nature of democracy in BiH. There are no official political and cultural restrictions against Croats, however, in areas in which they are a minority, some have reported informal restrictions on their ability to worship as they like. While Croatia has provided limited support to BiH Croats, the Croatian government is now reluctant to interfere in the political affairs of BiH. The government in BiH is still not stable on its own without the support and oversight of the international community. There are significant attempts to alter the Constitution established under the Dayton Accords, but there is little agreement on how it should be changed. The current constitutional arrangement is cumbersome, expensive and not workable in the long-term."
2001,"The Quebecois are at a very low risk for violent rebellion. Although a separatist movement has persisted in Quebec for many years, it has not employed violence to achieve its goals since the 1970s. They live under a democratic regime that is actively involved with negotiated policies related to the state of the group. The Quebecois are also not repressed by the Canadian government, which makes many efforts to appease the demands of the Quebecois, particularly on the provincial level. They do not suffer from political and cultural restrictions, and in fact, the culture of the Quebecois is often protected, if not supported directly, by law. The Quebecois do have a high territorial concentration and high levels of group cohesion and organization. However, this is only like to lead to protests on the same level as in the past and not lead to an outbreak of violence. Most recent protests have been aimed at the provincial government that has not been as sympathetic to calls for autonomy and secession as previous governments. The politicians who lead the Qu'bécois political parties find it in their best interest to continue to press for more power vis-à-vis the Ottawa government and to make the case to Québécois that the province would be better off on its own. As Quebec continues to perform well economically, the confidence of the Québécois in their ability to survive as an independent country could also grow  leading to greater protest. In particular, the Quebec nationalist elite believe, with some justification, that a sovereign Quebec could expect to negotiate status within NAFTA and the Free Trade Area for the Americas. Also, a 2006 parliamentary resolution recognizing Quebec as a distinct nation within Canada could provide a basis for future calls for independence.  The role of allophones, or immigrants who speak a language other than French or English, in Quebecs future is unclear, although they have tended to side with Anglophone Quebecers in the past. What impact these cross-currents will have on the future of Quebec politics is uncertain, but it seems likely that they are diluting the group cohesion that would be necessary for a sustained push for independence."
71002,"There have not been significant protests or rebellion by the Hui in recent decades. Several indicators suggest why: there are 1) low levels of group concentration, organization and cohesion; 2) government efforts to accommodate Hui cultural interests; and 3) no significant government repression. Further, the Chinese government's efforts in developing the western provinces, and the need for Arabic language skills due to Chinas increasing interaction with the Middle East, may contribute to improvements in the Hui economic status. The major pressure point is cultural discrimination and economic disparity, which may provoke sporadic clashes between the Hui and other ethnic groups, or protests to the Chinese government. Chances of rebellion are low."
13003,"Low-level rebellion by lowland indigenous groups is likely to continue based on five factors : persistent protest in the past; territorial concentration; high level of group cohesion; regime instability in the last five years; and ;government repression. However, efforts at negotiation and reform, as well as transnational support for the indigenous of the Amazon, significantly inhibit the escalation of violence.  Although economic and political discrimination against indigenous people seems likely to persist in the near future, indigenous groups have proved capable of sustained resistance to unfair economic and political policies, especially those that cut social aid programs. Based on previous organization levels, continued organization and mobilization appears quite likely; since 2001 they have continued to express their demands to national and international communities, though their effectiveness remains unproven as significant improvement in their situation has not happened yet. As the Ecuadorian government pursues implementation of economic reforms that cut social aid, indigenous groups in the Amazon are likely to organize against the government, as the vast majority did when they backed out of a coalition with President Gutierrez in 2003 over his abandonment of promised economic policies. Continued commercial development of their lands can also be expected to ignite mobilization and rebellion. These protests have escalated in some violence since 2001, and scattered violence is likely so long as oil companies continue to infringe upon indigenous land. Perhaps the most effective means to improve their situation in Ecuador is if the indigenous can continue to increase and maintain their role in the parliament."
37201,"The Abkhaz exhibit many factors that increase the likelihood of conflict in the future if the dispute over the status of Abhazia remains unresolved: the group has experienced both repression and rebellion in the recent past; it is highly organized both militarily and politically; and is the vast majority of Abkhaz are concentrated in a distinct region of the country. Further, the new Georgian leadership under Saakashvili has demonstrated a willingness to engage in brinkmanship to re-unite the fragmented country, and this poses a serious risk for renewed violence. The central government has little to no influence over Abkhazia: the Abkhaz vote in their own regional elections, raise their own armies, and pay taxes to Sukhum(i) (the regional capital), not to Tbilisi (Georgia's capital). The Abkhaz demand recognition of their de facto independence, which is something that the Georgian leadership is adamant it will not cede.  Although negotiations continue haphazardly, and while there is substantial external pressure on both sides to reach a settlement, Georgia's democracy remains unstable and the Abkhaz have not participated in Georgian politics for more than a decade. Levels of violence for most years post-2000 have been low, with relative peace maintained by a UN observer mission (UNOMIG). However, in 2008, renewed violence, involving land, air and sea warfare, directly involved Russian troops in a five-day conflict with Georgian troops on one side and Russian, Ossetian and Abkhazian troops on the other. While a peace agreement was mediated, tensions remain high on all sides."
75007,"The Kashmiri Muslims have four of the factors that increase the likelihood of continued rebellion in the future: a decade-long high-level insurgency; territorial concentration; generally high levels of group organization; and recurring government repression. Factors that might inhibit or limit future rebellion include India's tradition of democratic rule; its past ability to negotiate settlements with separatist groups; and transnational efforts in support of a diplomatic settlement. More than 65,000 people have died since the Kashmir insurgency began in late 1989. Efforts to reach a negotiated settlement will require the active involvement of the Indian government, Pakistan, and Kashmiri rebel groups, who have so far largely been excluded from any talks."
75012,"The Sikhs have two of the factors that increase the likelihood of rebellion in the future: persistent protest in the past and territorial concentration. Factors that inhibit the resurgence of the rebellion include India's stable democratic tradition and its past efforts to reach settlements that provide greater autonomy. The restoration of the political process in the Punjab, through the holding of state elections in 1997, has also facilitated a return to normalcy. The population is weary of war and the focus is on rebuilding the state's economic base. Finally, with Singh as Prime Minister, it is unlikely that large divisions will occur between the Sikhs and other Indians because he demonstrates a major unification amongst all Indians, regardless of religion."
85005,"There have been massive protests and sporadic rebellion among West Papuans since 1999. Several factors suggest the likelihood of the continuation of rebellion: territorial concentration; high degree of group cohesion and organization; Indonesian's unstable regime; and Jakartas ongoing repression. A number of West Papuans remain committed to independence and are likely to continue rebellion, although at relatively low levels.  Jakarta began implementation of a Special Autonomy Law in 2001. While the law addressed many of Papuans grievances, the Indonesian military has resisted full implementation and continues to perpetrate human rights abuses in the province. As a consequence, Papuans claimed that a Special Autonomy Law was a total failure, demanding the government to review. In 2005, at least 10,000 Papuans protested against the 2001 Special Autonomy Law. "
70501,"Russians in Kazakhstan exhibit a low to moderate risk of violent rebellion in the near future. Russians are territorially concentrated in the northern region of Kazakhstan and show high levels of group cohesion. Protest, while present since Kazakh independence, peaked in the mid-1990s and has remained relatively low ever since. However, it should be noted that these low levels of protest occured within an authoritarian regime, which often restricts high-level protests. Resentment does linger over the loss in status Russians have experienced since Kazakh independence. Russian protest is likely to persist, at least at low levels, in Kazakhstan. Discrimination against Russians in senior government positions plus arrests of prominent Russian activists and Russian journalists, and tight control over Russian language newspapers, radio and television programs provide grievances to sustain such protests. Furthermore there is no evidence to show that Kazakhstan's willingness to eliminate some forms of discrimination against Russians is done for any reason other than to appease Russia. Nevertheless, these protests are unlikely to increase barring any significant changes to the current state of affairs. The large exodus of ethnic Russians that occurred during the 1990s has slowed of late, reflecting, in part, the new economic opportunities within Kazakhstan's oil and gas boom; to a lesser degree, it reflects increased difficulties acquiring Russian citizenship."
81201,"The Hmong have four of the factors that increase the chances of future rebellion: current low-level insurgency; territorial concentration; recent government repression; and a history of lost autonomy. They also have two of the factors that lead to an increased risk of protest: government repression and support from kindred abroad. Improving the group's economic status along with allowing the Hmong to practice their religious and cultural beliefs could decrease the prospects of future violence. However, so long as the government continues to use indiscriminate repression and forced relocations, violence is likely to continue, at least at low levels."
35902,"Slavs in Moldova (primarily Russians and Ukrainians) are politically and geographically divided between the separatist Transdniestr region on the one hand, and major cities within the rest of Moldova on the other. The numeric majority, which live outside the separatist region, show little risk of rebellion as they do not suffer from government repression, face little to no discrimination and are not regionally concentrated. For the group within the separatist region, risks remain: the Slavs are a concentrated majority and dominate the authoritarian political system; the Transdniestr authorities have their own armed forces and access to weapons; and the group receives financial and military support from an outside patron (Russia). Nevertheless, there are strong factors that mitigate against renewed violence: Moldovan authorities have demonstrated a commitment to the diplomatic process for conflict resolution; Russia's armed forces in Transdniestria serve as a guarantor of the current status quo, which Moldova is almost certain not to antagonize; and there has been no serious violence since the brief civil war in 1992. Further, the international community (OSCE, EU, Russia, US) has increased its attention on Moldova's ""frozen conflict"", especially since Romania's accession to the EU in 2007 placed Moldova on the EU's border. While each side's position in the dispute appears intractable (Transdniestria demands independence; Moldova will offer only widespread autonomy), several proposals have come close to acceptance by both sides, suggesting that a negotiated solution is ultimately both possible and more likely than violence."
77507,"The Shan have four of the five factors that increase the chances of future rebellion: current rebellion; territorial concentration; high levels of support for group organizations; and widespread repression by state authorities. Since the late 1980s, the military junta has negotiated ceasefire agreements with 15 ethnic groups including the Shan State Army. At least two Shan rebel groups remain militarily active. However, given the major counterinsurgency campaign that has been underway in Shan state for the past several years, they have been limited in their ability to undertake militant actions."
56504,"The Caprivians have several of the factors that increase the likelihood of future rebellion: territorial concentration; recent government repression; and lack of support by the government or transnational groups for reform. However, there are other factors that favor the containment of rebellion: Namibia is a stable democracy; the group is not very well organized or mobilized; and past protest and rebellion has been fairly limited. Although the group does not encounter significant political or cultural restrictions often associated with protest, repression against the group might contribute to future group protest."
47503,"The Ibo (Igbo) face a few of the factors that might encourage protest. The group has a history of persistent protest, political and cultural restrictions, and Nigeria is a new democracy. Recent repression, group cohesion and recent rebellion are some of the factors that will continue to place the group at risk for future rebellion. Additionally, the Ibo face harassment and occasional violence from the Muslim Hausa/Fulani, and the Ibo have retaliated with violence. If the Ibo and other ethnic groups continue to perceive themselves as marginalized, they will continue to fight the state and one another for greater political power."
47505,"The Yoruba are at a low risk for future rebellion. Even though they do have a history of protest, they have only engaged in militant activities once against the Nigerian government in the past. At present, the group does not face any significant political, economic or social discrimination. In fact, the Yoruba won the presidency in the 2003 elections. There is, however, some risk of renewed protest, since the Nigerian government continues to adopt repressive tactics. In addition, there are reports of communal violence between the Yoruba and the plurality Hausa-Fulani communities. If not managed, these factors could contribute to increasing discontent, and perhaps even violence."
77006,"Sindhis are unlikely to take their political opposition to the level of rebellion, although radical organizations like the Jeay Sindh and the Sindh National Party have been accused of low levels of violence in the past. However, Sindhi protest is more likely, although the return of Sindhi-led civilian rule mitigates that risk significantly.. While inter-ethnic violence in the Sindh province has been a real problem in the past, intercommunal cooperation has grown since 2000, with fragile coalitions forming between Sindhis and Mohajirs, Baluchis and Pashtuns. With these ethnic groups banding together in protest against the Musharraf government, the risk for intercommunal violence is fairly low. However, it is still too soon to tell if these cross-ethnic alliances will endure with the return to civilian rule. Political stability in Sindh will depend on the continuance and growth of this alliance. The strengthening of this alliance could also facilitate meeting the sometimes desperate resource needs of both indigenous and immigrant populations in Sindh."
91001,"The past few years have brought about substantial changes for the Bougainvilleans in Papua New Guinea (PNG). In 2001, a peace agreement was signed between rebels and the government, establishing regional autonomy for Bougainville. Since that time, there has been a virtual cessation of fighting and violence; a program to surrender weapons has been completed under a UN mandate; internally displaced refugees have returned to their homes; and, at the end of 2004, a final draft constitution was agreed upon by the PNG parliament. In 2005, elections for the first Autonomous Bougainville Government took place, with Joseph Kabui and the Bougainville People's Congress winning. Nevertheless, more than 20,000 people have died since the outbreak of the rebellion in December of 1988 and, with factors such as persistent past protest and rebellion; territorial concentration; and high levels of group cohesion, the chance of future rebellion remains. Further, although Francis Ona, founder of the Bougainville Revolutionary Army and head of the militant Mekamui faction of that group passed away in 2005, he has been succeeded by Noah Musingku, and the Mekamui faction continues to be active."
36533,"Buryats show little risk for rebellion in the near future, despite territorial concentration and a strong group identity. There has been no rebellion in the post-Soviet era, and Buryat protest has generally been low, despite several incidents that could have mobilized the population. Most recently (2005-2006), Russia's central government caused some opposition by amalgamating Buryat regions with regions containing large, non-Buryat populations.  This resulted only in modest protest, perhaps because Buryat regions already contain large, non-Buryat populations."
43301,"The Diolas of the Casamance region of Senegal have several risk factors for rebellion, including current and historical rebellion, territorial concentration and moderate government repression. However, other factors mitigate the risk that rebellion will become large-scale, including efforts at negotiation and reform and transnational support for negotiations and reform. Radical wings of the Movement of Democratic Forces in Casamancais (MDFC) are likely to continue low-scale violence in the near future, as the government of Senegal remains unable and unwilling to meet their minimum demands of widespread autonomy for the Casamance region. Furthermore, due in large part to the porosity of the Senegal-Gambia and Senegal-Guinea Bissau borders, the government is unable to eradicate rebel capacity to strike. There is also a significant risk of protest for the Diolas, although due to the rural residence of most Diolas, protests are unlikely to be sustained or large. However, the unconsolidated nature of Senegal's democracy in combination with continued marginalization of Diolas in both the political and economic sphere make low-level protests likely."
62503,"Although a ceasefire held from 2002 until the signing of a final peace agreement in 2004, the future of the Nuba remains uncertain. Unlike the provinces of Southern Sudan, the Nuba mountain region will not have the option of self-determination and will be viewed as an integral part of northern Sudan. The Nuba occupy a precarious position as a buffer zone between North and South Sudan. While politically aligned with Southern Sudanese, they are geographically located in an area considered part of Northern Sudan. The agreement with the South has considerably weakened the position of the Nuba. Although high intensity rebellion is unlikely in the near future, the Nuba do still exhibit several risk indicators for rebellion, including a high level of territorial concentration, strong group cohesion and a relatively high level of group organization. It is still too early to determine if the Nuba will be effectively integrated politically under the final peace agreement and if they will be allowed to maintain their cultural identity, a primary concern of the group."
51001,"The situation in Zanzibar is difficult to assess. In June 1999, the opposition CUF and the ruling CCM signed an agreement to end their political conflict. The agreement provides for more autonomy for the island, the inclusion of the opposition in the ruling cabinet and an overhaul of the judiciary. The opposition CUF agreed, in turn, to recognize the CCM government and return to parliament. Zanzibar was to gain greater autonomy in exchange for recognizing and cooperating with the CCM government. Despite these agreements, an adequate level of trust between the CUF and CCM does not exist, and the fact that the election of 2000 was boycotted and rigged is evidence of this.  The government repression that resulted after the elections further puts Zanzibaris at risk.  Due to the geographic concentration of the group, a history of recent protests and continual government-inflicted political discrimination and repression, the potential exists for future militant activity and conventional protests. However, the situation in Zanzibar has gained international attention, and the pressure that is being put on the Tanzanian government by the Commonwealth and the European Union may be enough for a future settlement to be effectively put into place. Once again, it will depend on the level of trust that can be created between the CUF and CCM, and this trust may not develop until the current Zanzibar leader is replaced by a more willing negotiator. These problems are now affecting Tanzania as a whole, and they must become a more important issue for the government. Another concern for the Tanzanian government is growing fundamentalism on the Islands of Tanzania, because Tanzania is not willing to allow the islanders to rule themselves according to Islamic law, nor is it willing to give up the islands altogether if that demand should one day be developed by the fundamentalists."
36904,"Crimean Tatars exhibit four of the five factors that encourage rebellion: persistent protest; territorial concentration; high levels of group organization and cohesion; and recent regime instability during the Orange Revolution of November 2004 - January 2005. Crimean Tatar protest will likely remain at fairly high levels because key political and economic grievances are not being addressed by the regional or central government. While most returnees from Central Asia have now received citizenship, contention remains concerning issues such as provision of land, housing, and jobs. The political contest between Crimean Russians and Crimean Tatars over who controls the governance of the peninsula is also likely to continue through the coming years. The highest risk for violence in Crimea is between ethnic Russian and Tatar groups. Limited incidents of violence between these groups have occurred sporadically in recent years. With the increase of the Tatar population, these incidences are likely to increase, barring more vigorous intervention by the central government or other actors."
20003,"Although violence may recur in Northern Ireland, several recent events are hopeful. The Catholics have several of the risk factors that sustain rebellion, including high levels of group concentration and organization, experience of repression, and a long and active heritage of violent opposition to Protestant domination and British rule. However, the Good Friday Accords, although at times implementation has floundered, do attempt to redress Irish Catholic grievances. Furthermore, the IRA began decommissioning weapons in October 2001. IRA disarmament was certified as complete by an international panel in 2005, although some more militant factions may have maintained arms. Protests are likely to continue in the near future, although the magnitude of protests has declined. Major problems remain unresolved, and with the Protestant Orange Order intent on continuing their traditional marches through Catholic neighborhoods each July, there will be provocations for protest for the foreseeable future. The keys to the conflict may no longer lie with the main signatories to the agreement. Those responsible for the riots at the Protestant Orange Order marches, for example, are rarely members of the Order itself, but are rather unaffiliated youths who come looking for trouble. Likewise, many of the attacks blamed on the IRA have in fact been the work of individuals, rival Catholic factions, or even Protestants trying to increase tensions. Thus, even while political leaders on both sides make conciliatory gestures and move away from hard-line views, their attitudes do not always mirror the groups they are supposed to represent. Another important long-term factor is demographics. Northern Ireland's Catholic population is growing at a faster rate than that of the Protestants. Thus, the Catholics will eventually outnumber the Protestants and will be able to use the ballot to achieve their objectives. This alone will be a powerful consideration during the creation of the new government, and may impel Protestants to reach some kind of agreement soon, before they lose their numerical superiority."
204,"Despite their many claims and grievances, there is little chance that the Native Hawaiians will become involved in any rebellious activity in the near future. The Hawaiian separatist movement is gaining strength however, and the potential for increased levels of protest is real. Indigenous rights are an international concern, and while the Hawaiians are not immediately associated with an indigenous movement, their case is as strong as any recognized Native group in the United States. This potential for protest could occur even without the usual risk factors being present, such as cultural or political restrictions, government repression, support from other groups, etc. The issue of sovereignty is now recognized as an important political issue and is addressed by Hawaiian politicians at all levels of local, state and federal government. The creation of new sovereignty based associations in the late 1990s is an illustration of the legitimacy of the issue. Prolonged deliberations into the potential form of Hawaiian sovereignty have temporarily removed the issue from public debate, but may take prominence once the current discussions are made public. Furthermore, questions of Hawaiian heritage - such as the preservation of Native Hawaiian sacred objects and entitlements- have come to play a more important role, and their destruction has increased tensions between white settlers and natives in Hawaii."
34504,"Since the ouster of Milosevic in 2000 the state of Serbia has gone through a drastic overhaul. Under Milosevic, Vojvodina's autonomous status was revoked and protest was prohibited. In 2002, however, this autonomy was largely restored. Hungarians in Serbia live in Vojvodina almost exclusively and constitute a majority of the population in eight continuous municipalities in the north of the country bordering Hungary. While there is some disagreement about the level of autonomy for which they should fight, they are generally well organized and cohesive.  There was no record of government repression of Hungarians during recent years.   The regime in Serbia and Montenegro throughout 2004-2006 was democratic, though as a country emerging from socialism and Milosevics brutal rule, it continued to reform its systems. The government has been in dialog with Hungarian leadership about issues impacting them, especially during the rise in ethnic tensions and low level violence that accompanied it in 2004, but many question the commitment of either the central government or the Serbian government to address the concerns of ethnic Hungarians. Nevertheless, there were no serious armed conflicts in the region during 2004-2006.  Hungarians in Serbia experience no practical political or cultural restrictions. However, Serbia is still a young democracy. While Serbia does not currently represses its Hungarian minority, from 1989-2000, the Hungarian community was repressed by the Milosevic regime. The Hungarian diasporas relationship with Hungary is somewhat complicated, especially after its accession to the EU in 2004. The Hungarian government has advocated for the protection of the rights of their kin in Serbia; however, it is reluctant to become entangled in Serbias domestic affairs."
55203,"Several factors known to increase the likelihood of rebellion are present in the Ndebele case. There is cause for rebellion in terms of recent government repression and a history of past protest to build upon. Of note, there is also a strong basis from which to organize a rebellion. The Ndebele are territorially concentrated and have a strong group identity. In addition, there are organizations already in place to mobilize support. The fact that the regime is undemocratic and uninterested in improving the situation makes accommodation unlikely. While there is no transnational pressure for accommodation, there is violence in neighboring states that makes rebellion seem like a reasonable option for the Ndebele."
70004,"The political situation of Uzbeks in Afghanistan changed radically in 2001, when the United States led a coalition in overthrowing the Pashtun-dominated Taliban government. Although led by a Pashtun, Hamid Karzai, the interim government set in place by 2002 also included ethnic Uzbeks, including General Abdul Rashid Dostum. While they exhibit four of the five factors that encourage rebellion ' past rebellion and current protest; territorial concentration; generally high levels of group organization; and regime instability  Uzbeks are unlikely to rebel against the new central state so long as they maintain representation."
70003,"The political situation of the Tajiks changed radically in 2001, when the United States led a coalition in overthrowing the Pashtun-dominated Taliban government. Although led by a Pashtun, Hamid Karzai, the interim government set in place by 2002 was dominated by ethnic Tajiks. Tajiks are unlikely to rebel against the central state so long as they maintain representation. However, Tajiks continue to be involved in intercommunal conflict, primarily with Pashtuns, Uzbeks, and Hazaras. Until the central government is strong enough to contain warlordism, such clashes are likely to continue. Tajiks have engaged in moderate levels of protest, a situation that is unlikely to change. However, Tajik energy seems mostly directed at conventional electoral mobilization."
54003,"The people of Cabinda have three of the conditions that encourage rebellion: a recent history of insurgency, territorial concentration, and continuing government repression. Factors inhibiting conflict are efforts at negotiations that successfully established the Amnesty Law in August 2006 to stop the violence, transnational support for the 2006 peace agreement, and the 2002 ceasefire in the civil war that had been raging in the rest of Angola. The peace established in 2006 may continue if the government honors the promises outlined in the Amnesty Law. Although some separatists not amenable to the agreement were responsible for scattered violence after the accords were signed, the rebels had, for the most part, desisted and the fragile peace was still in place by the end of 2006. As long as the peace plan continues to move forward, the conflict will most likely not escalate into outright rebellion again.  Despite the progress, restrictions and repression against the group continue. Nonviolent protest activity will likely continue as Cabindans press for their economic and political rights."
37302,"Although many feared that Lezgin demands for the creation of an independent ""Lezgistan"" would result in another secessionist war in Azerbaijan, these fears have thus far proved to be unwarranted. It currently appears less likely than ever that the Lezgins will resort to any sustained collective action to address their grievances, although isolated incidents do occur. In the past 10 years, they have not engaged in any serious protests and only three incidents of violence; they have also shown a willingness to negotiate and compromise on their most intractable demands. The Lezgin nationalist movements do not receive wide support among the Lezgin people who are not well-organized at the grass-roots level. Three other factors suggest that serious Azeri-Lezgin conflict is not likely. First, the Lezgins are well-integrated into Azeri society, and mixed marriages are common. Second, both groups share an Islamic identity, even if the Lezgins are Sunni and the Azeri predominantly Shi'i. It is interesting to note that none of the many ethnic clashes of the Caucasus have pitted Muslim against Muslim. And finally, the Lezgins are not territorially concentrated like the Armenians in Nagorno-Karabakh, which would make secession logistically difficult. The wars in Chechnya and Nagorno Karabakh have had a contradictory effect on the Lezgins. On the one hand, the wars exacerbated the main Lezgin grievances: the division of the Lezgin people and homeland along the Samur river (between Russia and Azerbaijan), and the Azeri draft. However, the ferocity of the fighting seems to have discouraged militant Lezgins by convincing them (and many other Caucasian groups) that Moscow and Baku are determined to maintain a firm hold on their territories. The Lezgins seem to have concluded that the successful route to change is a peaceful one. Of course the Lezgin grievances could be largely satisfied if the Russian government relaxes the tight border controls on the Samur. Such a far-sighted policy shift could perhaps be taken when and if the conflict in Chechnya dies down. The Lezgins in Azerbaijan seem to understand that their interests are best served by integration into Azeri society, not militant defiance. In the last few years even the most ardent Lezgin nationalists have softened their demands. This recognition that their interest lies in peaceful social change bodes well for the prospects for stability in the region."
34601,"Serbs in Bosnia and Herzegovina (BiH) have a low risk of rebellion, while the possibility of protests remains moderate. Serb protests tend to be relatively small and peaceful in nature. Prior to the conflict in the 1990s, Serbs were rather dispersed throughout BiH, having concentrations in the west, northwest and south. As there has been no census since 1991, exact numbers are not available, but Serbs are now primarily dominant in the Republika Srpka (RS). The Serbs have a significant degree of group cohesion and have several political parties. There remains a relatively strong secessionist element among Bosnian Serbs, some of whom are more open and vocal about their desire than others. Despite their occasional bellicose language, these dissenters undertook no violent activities to achieve this goal between 2004 and 2006. Under the 1995 General Framework Agreement for Peace in Bosnia and Herzegovina ('Dayton Accords), the Serbs have one member of the state three-part presidency and five members (1/3) in the House of Peoples at the state level. The Dayton Accords also set up two entities, the Republika Srpska (RS) and the Federation of Bosnia and Herzegovina (Federation), as well as the Brcko District. The RS has a majority Serb population and roughly approximates the control of territory the Serbs had at the end of the war in 1995. Serbs living in the Federation face discrimination and sporadic violence. The Federation is composed mainly of Bosniaks and Croats. In areas of Serb control, there are instances of conflict between Serbs and Croats and Serbs and Bosniaks. Negotiations on police reform to have a more uniform law enforcement system throughout the country failed between 2004 and 2006. The RS is reluctant to give up any of its autonomy. This means that the two entities have separate police forces. While the RS is in charge of its own police force, several incidents of repression were reported against Serbs in the RS 2004-2006.  While elections are free and fair, full democracy is still a work in progress in BiH. The High Representative of the international community in BiH still holds the so-called Bonn Powers that allow him to intervene at any level of BiH government to assist in the full implementation of the Dayton Accords, which means everything from the removing obstructionist politicians to imposing laws. Additionally, foreign peacekeepers remain in BiH. In 2004, NATOs SFOR officially turned over its mission in BiH to the European Unions EUFOR, which has approximately 7,000 troops on the ground. While there have been no serious armed conflicts in the region since 1999, the Serbs are watching what happens in Kosovo and may try and manipulate the situation with regard to the status of the RS. Violent rebellion is unlikely in for the Serbs in BiH in the near future, however, they may leverage the political situation to their advantage if Kosovo becomes independent.  There are no official political and cultural restrictions against Serbs, however, in areas in which they are a minority, some have reported informal restrictions on their ability to worship as they like. The government in BiH is still not stable on its own without the support and oversight of the international community. There are significant attempts to alter the Constitution established under the Dayton Accords, but there is little agreement on how it should be changed. The current constitutional arrangement is cumbersome, expensive and not workable in the long-term. The standard Serb position on the Constitution is that it should remain intact as is. While Serbs are slightly underrepresented proportionally at the state-level, they control one of the two main entities and have significant autonomy within that territory. Serbia supports the Bosnian Serbs rights and forms special agreements and bilateral ties with the RS, but all but the radicals stop short of calling for reunification."
14002,"Indigenous peoples of Brazil are at moderate risk for rebellion against the state. The following factors are present that encourage rebellion: persistent protest in the past and territorial concentration. However, factors making rebellion less likely, such as efforts at negotiation and land reform within Brazil and a lack of serious armed conflict in neighboring countries, are also present. The likelihood of indigenous participating in protests is higher, as many of the risk factors for protest are present, including: significant political restrictions and support from other indigenous groups in the Americas.  Indigenous peoples of Brazil are more at risk for conflict with other groups in society than they are at risk for direct conflict with the state. Highly dependent on the land and environment of the Amazon for their way of life, culture, and traditions, they live in mineral-rich areas that are being developed by non-indigenous people for gold mining, timber production, oil production, and agriculture. Violent conflict has been increasing since the mid to late-1980s and it appears that it will persist due to the lack of enforcement of laws that would prohibit movement into (or development within) indigenous reserves."
15501,"The indigenous people of Chile are the poorest sector of society and continue to lose land due to privatization and land invasions by settlers. The most-organized group is the Mapuche, which includes the Pehuenche and the Huilliche, and they show no sign of slowing down their opposition to the government. The Mapuches have a history of conflict with the dominant group and continue to protest government policies, sometimes violently. The Mapuche are divided among regions and various organizations, though they have united on issues such as cultural and ethnic recognition. The main source of internal conflict is a lack of agreement on the means to achieve their goals. The most militant group, the All Lands Council, is likely to continue land takeovers, as they have demanded complete autonomy for Mapuche peoples. Other Mapuche groups do not call for autonomy, but rather formal recognition of their language, traditions, and cultures, including bilingual education. It is likely that the less militant groups will continue to voice their demands through electoral processes or non-violent marches and demonstrations. If a full-blown guerrilla group were to emerge in the future, it is likely that militant Mapuche members would participate in it against the government. Though the Chilean government has granted land to the Mapuches during the 1990s, it is unlikely that their poverty and low employment levels will change significantly in the near future, due to their isolation and agrarian lifestyle."
34401,"In 1999, President Tudjman, the nationalist leader of Croatia, died and was replaced by a democratically elected government led by what had been the opposition party. Croatia is proceeding towards European Union membership and therefore must be very careful with how it treats its minority groups. The situation of Serbs has been improving, as evidenced by the influx of Serb refugees back to their homes in Croatia, and this trend is likely to continue.  Nevertheless, serious challenges remain and, unfortunately, the long history of animosity between Serbs and Croats in Croatia and the low number of Serbs in the country mean that few political parties openly cater to the Serb community. The level of political and economic exclusion is high enough for the Serbs to continue to protest their treatment in Croatia, though it appears that the days of militant activity may be over, especially as Croatian Serbs currently lack military support from Serbia. Since the end of the Tudjman era, tensions have been reduced but significant problems remain.  The two pressing issues are (i) high levels of official and societal discrimination against Serbs and (ii) the indeterminate position of hundreds of thousands of Serb refugees (some of whom have returned) who have not had their property restored or been compensated for their losses.  New laws continue to be introduced to combat discrimination, demonstrating an effort on the part of authorities, but it will take time to assess their implementation and efficacy.  Recent court decisions also suggest progress on property restoration and allocation of reconstruction funds to Serbs but, again, these are small advances relative to the size of the challenge."
